id,year,title,actors,regions,summary,lat,lng,sources
evt-1797-venice-fall,1797,威尼斯共和終結,"威尼斯共和,法蘭西第一帝國","南歐",拿破崙戰爭重塑義大利北部權力格局,45.4408,12.3155,""
evt-1830-greece,1830,希臘獨立獲承認,"鄂圖曼,希臘","南歐,西亞",希臘脫離鄂圖曼統治並成為獨立國家,37.9838,23.7275,""
evt-1854-black-ships,1854,黑船來航與日本開港,"幕府時代,美國","北美,東亞",外壓促使日本對外開港並改變外交經濟路徑,35.2813,139.667,""
evt-1868-meiji,1868,明治維新,"日本帝國","東亞",中央集權與近代化改革快速推進,35.6764,139.65,""
evt-1871-germany,1871,德意志帝國成立,"普魯士,法蘭西第二帝國","西歐",德國統一完成並改變歐陸力量分布,48.8049,2.1204,""
evt-1914-ww1-ottoman,1914,鄂圖曼加入第一次世界大戰,"奧匈帝國,鄂圖曼","南歐,東歐,西亞,西歐",鄂圖曼加入中央同盟並擴大戰爭地理範圍,41.0082,28.9784,""
evt-1915-armenian,1915,亞美尼亞種族滅絕,"俄羅斯帝國,鄂圖曼","東歐,西亞",大規模迫害與驅逐造成嚴重人道災難,39.9334,32.8597,""
evt-1917-russian-revolution,1917,俄國革命,"俄羅斯帝國","東歐",帝制崩潰並引發新政權與國際秩序重組,59.9343,30.3351,""
evt-1919-versailles,1919,凡爾賽條約簽署,"協約國,德意志帝國","西歐",一戰後新邊界與賠款安排重塑歐洲政治,48.8049,2.1204,""
evt-1939-ww2-start,1939,第二次世界大戰爆發,"德意志第三帝國,波蘭","東歐,西歐",歐洲全面戰爭再起並快速擴展至全球,52.2297,21.0122,""
evt-1945-un,1945,聯合國成立,"美國,蘇聯,英國","北美,西歐,東歐",戰後多邊制度建立以管理國際衝突與合作,37.7749,-122.4194,""
evt-1947-india-independence,1947,印度獨立與分治,"英國,印度,巴基斯坦","南亞",殖民統治結束並伴隨地緣政治重組,28.6139,77.209,""
evt-1949-prc,1949,中華人民共和國成立,"中華人民共和國","東亞",中國內戰結束後新政權建立並改變冷戰格局,39.9042,116.4074,""
